title,description,category,resolution,priority
DNS resolution failures for internal services,Internal DNS resolution failing intermittently. *.internal.company.com not resolving. Affecting 10 services including Reporting Engine. DNS server: 144.116.28.209. Started since this morning ago.,Network,"1. Check DNS server health and query logs.
2. Verify DNS zone configurations and SOA records.
3. Flush DNS cache on affected clients: `ipconfig /flushdns` or equivalent.
4. Check if DNS server is overwhelmed — add secondary DNS.
5. Verify network ACLs are not blocking DNS (UDP/TCP 53).
6. Test resolution with `nslookup` and `dig` for debugging.",Critical
Password reset request for VPN account,john.kumar@company.com from Security requesting password reset for their CRM Portal account. Reason: returning from extended leave. Identity verified via manager email.,Access Management,"1. Verify user identity through approved verification method.
2. Reset password to a temporary value meeting complexity requirements.
3. Set ""must change at next login"" flag.
4. Communicate temporary password via secure channel.
5. Confirm user can log in successfully.
6. If compromised warning: review login history and enable MFA.",Low
Service account key rotation overdue for GCP,"15 service account keys in AWS have not been rotated in 149 days, violating the 72-day rotation policy. Accounts used by: Ticket System, ArgoCD. Compliance audit flagged this as a finding.",Security,"1. Generate new keys for each service account.
2. Update the keys in all dependent services, CI/CD pipelines, and secret managers.
3. Revoke the old keys after confirming new keys work.
4. Implement automated key rotation via Azure Key Vault.
5. Set up alerts for key age exceeding policy threshold.",Medium
Privilege escalation detected in DR environment,SIEM alert: user alex.kumar@company.com escalated privileges from editor to admin role without authorization in QA. Role binding change detected.,Security,"1. Immediately revoke the escalated privileges.
2. Review audit logs to determine how the escalation occurred.
3. Check for any actions performed with elevated access.
4. Patch the privilege escalation vector.
5. Implement alerts for unauthorized role changes.
6. Review IAM policies to prevent similar escalation paths.",Critical
Bandwidth throttling detected on qa-proxy-12,Network throughput on prod-auth-20 limited to 95Mbps instead of expected 9Gbps. Data transfer jobs running 18x slower than normal. Issue detected by Network team.,Network,"1. Check NIC configuration — verify speed/duplex settings.
2. Check for QoS policies or traffic shaping rules.
3. Run iperf3 between affected servers to measure actual throughput.
4. Verify switch port configuration matches expected speed.
5. Replace network cable if physical layer issue suspected.
6. Check for VM-level network throttling in hypervisor settings.",Medium
Data corruption detected in MariaDB for Analytics Dashboard,API Gateway reporting inconsistent data from Oracle. null values in NOT NULL columns found. Affects 4578 records. Likely caused by disk failure.,Database,"1. Immediately take a backup of the current (corrupted) state for analysis.
2. Identify the scope of corrupted records.
3. If recent, restore from the last known good backup.
4. Apply transaction logs to recover data up to the corruption point.
5. Fix the root cause (migration script, application bug, etc.).
6. Implement data integrity checks as a scheduled job.",Critical
API response times degraded for Analytics Dashboard,Average API response time for Monitoring Dashboard has increased from 156ms to 4s. Users reporting slow page loads. Database dashboard shows timeout spikes. Started 5 minutes ago.,Application,"1. Check APM/tracing for slowest endpoints.
2. Identify bottleneck: database queries, external API calls, or compute.
3. Add database query indexes if N+1 queries detected.
4. Implement caching for frequently accessed data.
5. Scale horizontally if load has genuinely increased.",High
Firewall rule blocking traffic to Monitoring Dashboard,New firewall rule is inadvertently blocking outbound traffic on port 3000 to Inventory Manager on dev-cache-2. Deployed 15 minutes ago as part of network restructuring. ML team affected.,Network,"1. Identify the blocking firewall rule from logs.
2. Add an exception rule for the required traffic.
3. Verify the fix with connection tests (telnet/nc).
4. Review the firewall change process to include impact assessment.
5. Document the exception in the network security policy.
6. Implement a change review process for firewall modifications.",High
Redis backup job failed for UAT,Nightly MongoDB backup for sandbox environment failed at compression stage. Error: permission denied on backup directory. Last successful backup was 6 days ago.,Database,"1. Check backup job logs for the specific error.
2. Verify backup storage has sufficient space.
3. Ensure backup service account has correct permissions.
4. Run a manual backup immediately to restore the backup chain.
5. Verify backup integrity with a test restore.
6. Set up backup failure alerts to catch issues within 24 hours.",High
Shared service account password rotation for Email Service,"Shared service account used by Inventory Manager across Data needs password rotation. Current password has been in use for 106 days, violating 65-day rotation policy. 8 team members know the current password.",Access Management,"1. Generate a new strong password meeting policy requirements.
2. Update the password in the identity provider.
3. Update all services/scripts using this credential.
4. Store new password in shared password manager (Vault/1Password).
5. Revoke knowledge of old password from team members.
6. Consider replacing shared accounts with per-user service accounts.
7. Implement automated rotation via secret management tool.",High
SSO login failing for Analytics Dashboard,"Users cannot authenticate to Admin Console via SSO (Ping Identity). Getting ""Redirect loop"" error. 99 users affected. Started 3 hours ago.",Access Management,"1. Check SSO provider dashboard for service status.
2. Verify SAML/OIDC configuration — check certificate expiry.
3. Test SSO login in incognito mode to rule out cache issues.
4. If certificate expired, upload the new IdP certificate.
5. Check clock sync between IdP and SP (SAML is time-sensitive).
6. Enable SSO debug logging and review assertion content.",Critical
Cassandra deadlock detected in HR Dashboard,Frequent deadlocks occurring in MongoDB when HR Dashboard processes batch imports. 43 deadlocks in the last hour. Transaction rollbacks affecting user experience.,Database,"1. Analyze deadlock logs to identify the conflicting transactions.
2. Review application locking order — ensure consistent acquisition order.
3. Reduce transaction scope and duration.
4. Add appropriate row-level locking hints.
5. Implement retry logic for deadlock errors in application code.
6. Consider optimistic locking where possible.",High
Invoice System memory leak causing OOM crashes,"Reporting Engine on staging-worker-11 is consuming increasing memory over time, eventually hitting OOM and crashing. RSS grows from 273MB to 6GB within 7 hours. Environment: pre-prod.",Application,"1. Generate a heap dump for analysis: use appropriate profiler.
2. Identify leaking objects/connections using profiling tools.
3. Check for unclosed database connections, event listeners, or cache growth.
4. Apply fix and deploy with memory limits.
5. Set up memory usage alerting at 80% of container limit.",Critical
